,Code,Station,Postcode,Country,Lon,Lat
0,NLAAC,Amsterdam Sloterdijk,1043,Nederland,4.838111, 52.389025
1,NLAAF,Amsterdam Lelylaan,1062,Nederland,4.833913, 52.357886
2,NLABK,Amsterdam Amstel,1097,Nederland,4.917593, 52.346443
3,NLACD,Abcoude,1391,Nederland,4.976994, 52.278673
4,NLADR,Almelo de Riet,7606,Nederland,6.6664, 52.342218
5,NLAHM,Arnhem Centraal,6811,Nederland,5.901004, 51.98478
6,NLAHO,Amsterdam Holendrecht,1106,Nederland,4.960031, 52.298108
7,NLAHP,Arnhem Presikhaaf,6824,Nederland,5.943317, 51.98789
8,NLAHV,Arnhem Velperpoort,6824,Nederland,5.919837, 51.985175
9,NLAHZ,Arnhem Zuid,6843,Nederland,5.851923, 51.954837
10,NLAKL,Arkel,4241,Nederland,4.992662, 51.871965
11,NLAKM,Akkrum,8491,Nederland,5.843365, 53.047134
12,NLALP,Almere Parkwijk,1318,Nederland,5.244945, 52.376862
13,NLAMB,Almere Buiten,1334,Nederland,5.277962, 52.394175
14,NLAMC,Almere Centrum,1313,Nederland,5.218768, 52.375244
15,NLAMF,Amersfoort,3818,Nederland,5.373239, 52.153642
16,NLAML,Almelo,7604,Nederland,6.654813, 52.357284
17,NLAMM,Almere Muziekwijk,1323,Nederland,5.190596, 52.36772
18,NLAMN,Alkmaar Noord,1824,Nederland,4.763923, 52.64377
19,NLAMO,Almere Oostvaarders,1335,Nederland,5.30021, 52.403219
20,NLAMP,Amsterdam Muiderpoort,1093,Nederland,4.931365, 52.360736
21,NLAMR,Alkmaar,1815,Nederland,4.74011, 52.637792
22,NLAMS,Amersfoort Schothorst,3813,Nederland,5.403838, 52.174875
23,NLAMV,Amersfoort Vathorst,3829,Nederland,5.433314, 52.192287
24,NLANM,Arnemuiden,4341,Nederland,3.669001, 51.501628
25,NLANP,Anna Paulowna,1761,Nederland,4.811215, 52.867601
26,NLAPD,Apeldoorn,7311,Nederland,5.967489, 52.209429
27,NLAPG,Appingedam,9901,Nederland,6.862374, 53.325818
28,NLAPM,Apeldoorn De Maten,7325,Nederland,6.000479, 52.205357
29,NLAPO,Apeldoorn Osseveld,7325,Nederland,6.006061, 52.215713
30,NLAPR,Alphen a/d Rijn,2405,Nederland,4.657688, 52.124202
31,NLASB,Amsterdam Bijlmer ArenA,1101,Nederland,4.947141, 52.312221
32,NLASC,Amsterdam Centraal,1012,Nederland,4.899426, 52.37919
33,NLASN,Assen,9404,Nederland,6.571141, 52.991994
34,NLASP,Amsterdam Sciencepark,1098,Nederland,4.949253, 52.353167
35,NLASZ,Amsterdam Zuid,1082,Nederland,4.871946, 52.338865
36,NLATN,Aalten,7122,Nederland,6.57853, 51.921343
37,NLBAN,Baarn,3743,Nederland,5.281252, 52.208117
38,NLBDA,Breda,4811,Nederland,4.778566, 51.595214
39,NLBDE,Bunde (NL),6241,Nederland,5.736646, 50.896824
40,NLBDG,Bodegraven,2411,Nederland,4.746196, 52.081486
41,NLBDM,Bedum,9781,Nederland,6.59205, 53.306724
42,NLBDP,Breda Prinsenbeek,4822,Nederland,4.72135, 51.605714
43,NLBED,Beesd,4153,Nederland,5.195279, 51.899427
44,NLBEL,Beek-Elsloo,6191,Nederland,5.786302, 50.947299
45,NLBET,Best,5683,Nederland,5.388988, 51.509799
46,NLBGZ,Bergen op Zoom,4611,Nederland,4.296088, 51.494445
47,NLBHV,Bilthoven,3722,Nederland,5.204187, 52.130135
48,NLBKL,Breukelen,3621,Nederland,4.990433, 52.170434
49,NLBKP,Boskoop,2771,Nederland,4.646676, 52.077548
50,NLBKS,Boskoop Snijdelwijk,2771,Nederland,4.64628, 52.06764
51,NLBLN,Beilen,9411,Nederland,6.521278, 52.855106
52,NLBLO,Baflo,9953,Nederland,6.518986, 53.361451
53,NLBMD,Bloemendaal,2024,Nederland,4.627574, 52.404324
54,NLBMN,Brummen,6971,Nederland,6.14676, 52.090421
55,NLBMR,Boxmeer,5831,Nederland,5.939181, 51.644439
56,NLBNC,Barneveld Centrum,3771,Nederland,5.590229, 52.139862
57,NLBNE,Borne (NL),7622,Nederland,6.748417, 52.298719
58,NLBNK,Bunnik,3981,Nederland,5.193787, 52.063157
59,NLBNN,Barneveld Noord,3771,Nederland,5.597852, 52.161265
60,NLBRD,Barendrecht,2991,Nederland,4.552856, 51.854553
61,NLBRK,Blerick,5922,Nederland,6.155354, 51.372435
62,NLBSZ,Bussum Zuid,1406,Nederland,5.162702, 52.266214
63,NLBTL,Boxtel,5281,Nederland,5.318917, 51.584733
64,NLBTP,Buitenpost,9285,Nederland,6.144648, 53.256367
65,NLBVF,Bovenkarspel Flora,1611,Nederland,5.25352, 52.696078
66,NLBVG,Bovenkarspel-Grootebroek,1611,Nederland,5.236468, 52.695062
67,NLBVH,Boven-Hardinxveld,3371,Nederland,4.878221, 51.832332
68,NLBVW,Beverwijk,1941,Nederland,4.656286, 52.478324
69,NLCLB,Culemborg,4103,Nederland,5.226813, 51.946908
70,NLCSV,Capelle Schollevaar,2907,Nederland,4.584174, 51.954082
71,NLCTC,Castricum,1901,Nederland,4.658983, 52.545446
72,NLCUK,Cuijk,5431,Nederland,5.874064, 51.726996
73,NLCVD,Coevorden,7741,Nederland,6.735743, 52.663393
74,NLCVM,Chevremont,6463,Nederland,6.059619, 50.875897
75,NLDBZ,Driebergen-Zeist,3709,Nederland,5.259309, 52.065242
76,NLDDD,Den Dolder,3734,Nederland,5.242562, 52.140374
77,NLDDM,Didam,6942,Nederland,6.132252, 51.933236
78,NLDDN,Delden,7491,Nederland,6.715957, 52.260191
79,NLDDS,Dordrecht Stadspolders,3315,Nederland,4.716855, 51.801858
80,NLDDT,Dordrecht,3311,Nederland,4.667765, 51.807324
81,NLDDZ,Dordrecht Zuid,3318,Nederland,4.671388, 51.790019
82,NLDET,Delft,2613,Nederland,4.3569, 52.005752
83,NLDEZ,Delft Zuid,2627,Nederland,4.365098, 51.990308
84,NLDHC,Den Haag Centraal,2595,Nederland,4.32524, 52.080317
85,NLDHD,Den Helder,1782,Nederland,4.760768, 52.956406
86,NLDHH,Den Haag HS,2515,Nederland,4.322669, 52.069584
87,NLDHL,Den Haag Laan v. NOI,2595,Nederland,4.343443, 52.079059
88,NLDHM,Den Haag Mariahoeve,2272,Nederland,4.368973, 52.090529
89,NLDHS,Driehuis,2071,Nederland,4.638865, 52.442879
90,NLDHW,Den Haag Moerwijk,Zuid,Nederland,4.308547, 52.053862
91,NLDHY,Den Haag Ypenburg,2496,Nederland,4.391338, 52.055606
92,NLDHZ,Den Helder Zuid,1785,Nederland,4.764345, 52.932503
93,NLDLN,Dalen,7751,Nederland,6.75818, 52.694217
94,NLDLV,Daarlerveen,7687,Nederland,6.575833, 52.441306
95,NLDMN,Diemen,1111,Nederland,4.96751, 52.345112
96,NLDMZ,Diemen Zuid,1112,Nederland,4.955753, 52.330325
97,NLDNE,Deurne,5753,Nederland,5.78792, 51.456097
98,NLDNM,Deinum,9033,Nederland,5.728079, 53.188786
99,NLDRN,Dieren,6953,Nederland,6.10221, 52.04427
100,NLDRP,Dronryp,9035,Nederland,5.635481, 53.1779
101,NLDSN,Dalfsen,7722,Nederland,6.259018, 52.498342
102,NLDTC,Doetinchem,7005,Nederland,6.29448, 51.95836
103,NLDTH,Doetinchem de Huet,7006,Nederland,6.259512, 51.959116
104,NLDVC,Deventer Colmschate,7423,Nederland,6.215465, 52.250411
105,NLDVD,Duivendrecht,1115,Nederland,4.936552, 52.323556
106,NLDVK,De Vink,2253,Nederland,4.456294, 52.14717
107,NLDVN,Duiven,6922,Nederland,6.014835, 51.943295
108,NLDVT,Deventer,7411,Nederland,6.160505, 52.257432
109,NLDZL,Delfzijl,9934,Nederland,6.924426, 53.334025
110,NLDZW,Delfzijl West,9933,Nederland,6.907041, 53.331912
111,NLECT,Echt,6101,Nederland,5.878954, 51.100709
112,NLEDC,Ede Centrum,6711,Nederland,5.667959, 52.043344
113,NLEDL,Enschede Kennispark,7521,Nederland,6.838993, 52.237287
114,NLEDN,Eijsden,6245,Nederland,5.710046, 50.771964
115,NLEDW,Ede-Wageningen,6717,Nederland,5.671555, 52.027865
116,NLEEM,Eemshaven,9979,Nederland,6.819422, 53.461346
117,NLEGH,Eygelshoven,6469,Nederland,6.045847, 50.889903
118,NLEGM,Eygelshoven Markt,6471,Nederland,6.057569, 50.896033
119,NLEHB,Eindhoven Strijp-S,5617,Nederland,5.457054, 51.450362
120,NLEHV,Eindhoven,5611,Nederland,5.479572, 51.443018
121,NLEHZ,Enkhuizen,1601,Nederland,5.28803, 52.699512
122,NLELT,Elst,6662,Nederland,5.855024, 51.91719
123,NLEML,Ermelo,3851,Nederland,5.614482, 52.301254
124,NLEMN,Emmen,7822,Nederland,6.899688, 52.790114
125,NLESD,Enschede,7511,Nederland,6.890222, 52.222562
126,NLESE,Enschede De Eschmarke,7532,Nederland,6.951097, 52.221133
127,NLETL,Etten-Leur,4872,Nederland,4.636474, 51.575195
128,NLFNK,Franeker,8801,Nederland,5.549958, 53.182332
129,NLGAD,Gaanderen,7011,Nederland,6.348155, 51.931024
130,NLGBG,Gramsbergen,7783,Nederland,6.676054, 52.609413
131,NLGDA,Gouda,2809,Nederland,4.706131, 52.017348
132,NLGDG,Gouda Goverwelle,2807,Nederland,4.741558, 52.014966
133,NLGDK,Geerdijk,7686,Nederland,6.566754, 52.476292
134,NLGDM,Geldermalsen,4191,Nederland,5.271454, 51.882339
135,NLGDP,Geldrop,5662,Nederland,5.550488, 51.419997
136,NLGJS,Grou-Jirnsum,9001,Nederland,5.822735, 53.088736
137,NLGKK,Grijpskerk,9843,Nederland,6.3104, 53.25581
