,level_0,index,Station,Code,Lat,Lon,Postcode,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport,Population,StationVenues
0,0,0,Amsterdam Sloterdijk,NLAAC,52.389025,4.8381110000000005,1043,6.0,11.0,35.0,10.0,19.0,88.0,22.0,43.0,0.045,18
1,1,1,Amsterdam Lelylaan,NLAAF,52.357886,4.833913,1062,3.0,8.0,31.0,5.0,19.0,49.0,32.0,21.0,8.28,6
2,2,2,Amsterdam Amstel,NLABK,52.346443,4.917593,1097,3.0,16.0,65.0,16.0,32.0,60.0,51.0,27.0,12.66,13
3,3,3,Abcoude,NLACD,52.278673,4.976994,1391,3.0,3.0,4.0,6.0,6.0,9.0,4.0,4.0,7.48,3
4,4,4,Almelo de Riet,NLADR,52.342218,6.6664,7606,5.0,7.0,8.0,2.0,5.0,8.0,12.0,6.0,7.27,2
5,5,5,Arnhem Centraal,NLAHM,51.98478,5.901004,6811,30.0,10.0,87.0,39.0,24.0,55.0,108.0,27.0,4.875,16
6,6,6,Amsterdam Holendrecht,NLAHO,52.298108,4.960031,1106,6.0,17.0,16.0,5.0,4.0,57.0,14.0,9.0,18.355,2
7,7,7,Arnhem Presikhaaf,NLAHP,51.98789,5.9433169999999995,6824,2.0,16.0,14.0,5.0,14.0,24.0,29.0,12.0,9.705,2
8,8,8,Arnhem Velperpoort,NLAHV,51.985175,5.919837,6824,8.0,6.0,66.0,22.0,20.0,44.0,94.0,19.0,9.705,12
9,9,9,Arnhem Zuid,NLAHZ,51.954837,5.851923,6843,4.0,5.0,6.0,6.0,8.0,23.0,17.0,8.0,11.225,0
10,10,10,Arkel,NLAKL,51.871965,4.992662,4241,1.0,1.0,6.0,1.0,0.0,2.0,8.0,6.0,3.345,0
11,11,11,Akkrum,NLAKM,53.047134,5.843365,8491,0.0,4.0,5.0,2.0,3.0,6.0,5.0,6.0,3.44,0
12,12,12,Almere Parkwijk,NLALP,52.376862,5.2449449999999995,1318,1.0,3.0,7.0,3.0,8.0,20.0,8.0,4.0,9.585,10
13,13,13,Almere Buiten,NLAMB,52.394175,5.2779620000000005,1334,10.0,6.0,22.0,6.0,5.0,26.0,42.0,6.0,1.475,32
14,14,14,Almere Centrum,NLAMC,52.375244,5.218768,1313,7.0,4.0,57.0,13.0,24.0,75.0,103.0,19.0,4.495,31
15,15,15,Amersfoort,NLAMF,52.153642,5.373239,3818,13.0,11.0,59.0,11.0,14.0,71.0,69.0,27.0,10.015,17
16,16,16,Almelo,NLAML,52.357284,6.654813000000001,7604,4.0,32.0,39.0,8.0,5.0,31.0,67.0,10.0,6.72,5
17,17,17,Almere Muziekwijk,NLAMM,52.36772,5.190596,1323,5.0,6.0,11.0,4.0,8.0,29.0,17.0,10.0,6.525,14
18,18,18,Alkmaar Noord,NLAMN,52.643769999999996,4.763923,1824,1.0,2.0,8.0,1.0,8.0,19.0,6.0,7.0,7.42,5
19,19,19,Almere Oostvaarders,NLAMO,52.403219,5.30021,1335,4.0,3.0,10.0,3.0,5.0,19.0,5.0,7.0,12.205,2
20,20,20,Amsterdam Muiderpoort,NLAMP,52.360735999999996,4.931365,1093,15.0,15.0,112.0,40.0,38.0,54.0,83.0,43.0,8.26,15
21,21,21,Alkmaar,NLAMR,52.637792000000005,4.74011,1815,14.0,6.0,47.0,13.0,12.0,51.0,67.0,14.0,7.02,14
22,22,22,Amersfoort Schothorst,NLAMS,52.174875,5.4038379999999995,3813,3.0,11.0,9.0,3.0,9.0,42.0,17.0,10.0,15.065,1
23,23,23,Amersfoort Vathorst,NLAMV,52.192287,5.433314,3829,4.0,6.0,14.0,4.0,10.0,21.0,24.0,5.0,4.225,2
24,24,24,Arnemuiden,NLANM,51.501628000000004,3.669001,4341,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.43,1
25,25,25,Anna Paulowna,NLANP,52.867601,4.811215,1761,1.0,0.0,2.0,3.0,6.0,3.0,11.0,2.0,8.14,5
26,26,26,Apeldoorn,NLAPD,52.209429,5.967489,7311,6.0,7.0,58.0,13.0,8.0,44.0,74.0,14.0,9.245,10
27,27,27,Appingedam,NLAPG,53.325818000000005,6.862374000000001,9901,2.0,2.0,10.0,5.0,3.0,7.0,12.0,4.0,4.115,1
28,28,28,Apeldoorn De Maten,NLAPM,52.205357,6.000479,7325,3.0,2.0,7.0,2.0,6.0,12.0,11.0,3.0,12.885,1
29,29,29,Apeldoorn Osseveld,NLAPO,52.215713,6.006061,7325,3.0,5.0,9.0,3.0,8.0,12.0,12.0,8.0,12.885,9
30,30,30,Alphen a/d Rijn,NLAPR,52.124202000000004,4.657687999999999,2405,7.0,5.0,42.0,7.0,14.0,45.0,69.0,9.0,7.665,6
31,31,31,Amsterdam Bijlmer ArenA,NLASB,52.312221,4.947141,1101,31.0,15.0,42.0,16.0,25.0,108.0,90.0,29.0,0.07,25
32,32,32,Amsterdam Centraal,NLASC,52.37919,4.899426,1012,48.0,18.0,202.0,149.0,57.0,119.0,175.0,178.0,8.09,49
33,33,33,Assen,NLASN,52.99199399999999,6.571141000000001,9404,5.0,5.0,38.0,7.0,11.0,41.0,63.0,8.0,6.04,2
34,34,34,Amsterdam Sciencepark,NLASP,52.353167,4.949253,1098,3.0,17.0,16.0,4.0,28.0,41.0,24.0,12.0,14.165,3
35,35,35,Amsterdam Zuid,NLASZ,52.338865000000006,4.871946,1082,20.0,57.0,79.0,13.0,40.0,90.0,83.0,39.0,9.395,36
36,36,36,Aalten,NLATN,51.921343,6.578530000000001,7122,1.0,2.0,7.0,9.0,10.0,6.0,10.0,2.0,7.76,3
37,37,37,Baarn,NLBAN,52.208117,5.281251999999999,3743,8.0,3.0,25.0,5.0,7.0,28.0,20.0,4.0,4.325,1
38,38,38,Breda,NLBDA,51.595214,4.7785660000000005,4811,25.0,18.0,72.0,42.0,24.0,48.0,76.0,27.0,15.865,18
39,39,39,Bunde (NL),NLBDE,50.896824,5.736646,6241,0.0,3.0,7.0,4.0,3.0,4.0,3.0,6.0,5.935,3
40,40,40,Bodegraven,NLBDG,52.081486,4.746196,2411,3.0,8.0,10.0,4.0,3.0,11.0,24.0,4.0,17.455,4
41,41,41,Bedum,NLBDM,53.306723999999996,6.59205,9781,1.0,1.0,4.0,3.0,6.0,5.0,14.0,6.0,8.565,0
42,42,42,Breda Prinsenbeek,NLBDP,51.605714,4.72135,4822,6.0,4.0,10.0,4.0,10.0,25.0,11.0,6.0,8.355,6
43,43,43,Beesd,NLBED,51.899427,5.195279,4153,0.0,0.0,5.0,1.0,2.0,4.0,6.0,5.0,3.49,0
44,44,44,Beek-Elsloo,NLBEL,50.947299,5.786302,6191,1.0,5.0,11.0,6.0,4.0,11.0,42.0,4.0,12.885,4
45,45,45,Best,NLBET,51.509799,5.3889879999999994,5683,4.0,6.0,20.0,5.0,9.0,20.0,28.0,4.0,6.23,9
46,46,46,Bergen op Zoom,NLBGZ,51.494445,4.296088,4611,4.0,6.0,35.0,14.0,13.0,37.0,53.0,9.0,8.01,6
47,47,47,Bilthoven,NLBHV,52.130134999999996,5.204187,3722,5.0,5.0,16.0,5.0,7.0,23.0,28.0,7.0,4.415,11
48,48,48,Breukelen,NLBKL,52.170434,4.990433,3621,2.0,3.0,18.0,4.0,4.0,30.0,14.0,6.0,10.675,2
49,49,49,Boskoop,NLBKP,52.077548,4.646676,2771,2.0,3.0,13.0,6.0,3.0,6.0,16.0,3.0,15.19,2
50,50,50,Boskoop Snijdelwijk,NLBKS,52.067640000000004,4.64628,2771,0.0,3.0,4.0,0.0,7.0,2.0,3.0,3.0,15.19,3
51,51,350,Waddinxveen Triangel,NLWDT,52.082227,4.648181,2771,0.0,0.0,5.0,1.0,4.0,1.0,3.0,6.0,15.19,3
52,52,51,Beilen,NLBLN,52.855106000000006,6.521278,9411,2.0,3.0,8.0,5.0,2.0,8.0,15.0,3.0,8.545,3
53,53,52,Baflo,NLBLO,53.361451,6.518986,9953,0.0,0.0,1.0,3.0,4.0,5.0,7.0,1.0,1.88,1
